target,config_key,model,param_profile,weight_profile,top_k,shrink_mode,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,raw_active_full_logloss,raw_active_last_logloss,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,active_fold0_raw_logloss,active_fold1_raw_logloss,active_fold2_raw_logloss,active_fold3_raw_logloss,active_fold4_raw_logloss,candidate,selection_mode
S1,lgbm|smooth|recent_anchorerr|top60|hist1|bankbins_te,lgbm,smooth,recent_anchorerr,60,prob,0.08,0.4946649611917591,0.44807446341867757,0.0023128079779071165,-0.0014700025982986031,0.45564817396136376,0.6263351349643722,0.5597990306081947,0.4735805063645223,0.48817612268541954,0.5347359385902085,0.5279336844039872,0.44807446341867757,0.5839470503358916,0.5975231635646494,0.7241115999144511,0.6669944469616096,0.5597990306081947,target_weighted_single_last,last
S2,lgbm|smooth|target_auto|top240|hist1|bankbins_te,lgbm,smooth,target_auto,240,logit,0.25,0.5601477748600526,0.6118105763913717,2.736917034440456e-05,-0.011004746504061691,0.6202120730859126,0.6715449196752773,0.7043420696307073,0.5638379678023339,0.543297658903702,0.5282108487710584,0.5557730890158827,0.6118105763913717,0.649619145347081,0.7311446590385674,0.6903624519046927,0.5860028504084545,0.7043420696307073,target_weighted_single_last,last
S3,lgbm|mid|recent_anchorerr|top60|hist1|bankbins_te,lgbm,mid,recent_anchorerr,60,logit,0.12,0.5419526791453837,0.5998521638331856,0.0004013046236955864,-0.0008268611573879481,0.607208735158986,0.5956780290018044,0.6394010908912197,0.4996512677032654,0.5339544024823488,0.5661417396640874,0.5166382147412996,0.5998521638331856,0.5407991401700403,0.5963871603735205,0.5950013972739794,0.6120741478549884,0.6394010908912197,target_weighted_single_last,last
S4,lgbm|smooth|uniform|top60|hist1|bankbins_te,lgbm,smooth,uniform,60,prob,0.0,0.630799037604625,0.5886543846409902,0.0,0.0,0.5936162949089975,0.6855317767653218,0.6908087725757937,0.6568138600711415,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,0.6778866903983771,0.6804619238948455,0.693235137623314,0.686204297827736,0.6908087725757937,target_weighted_single_last,last
Q1,lgbm|smooth|uniform|top60|hist1|bankbins_te,lgbm,smooth,uniform,60,logit,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6229090295817957,0.675665305916063,0.6693851957573987,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128,0.650164234460552,0.6926797154209611,0.671304434522957,0.6953560374480147,0.6693851957573987,target_weighted_single_full,full
Q2,lgbm|smooth|recent_anchorerr|top240|hist1|bankbins_te,lgbm,smooth,recent_anchorerr,240,logit,0.7,0.6695023748487835,0.6043375263217081,-0.023377481775138986,-0.03374684297869324,0.6107079204980391,0.6736520140430828,0.614525369171325,0.6985382860549727,0.658518708350887,0.6838411955912523,0.6971759790925719,0.6043375263217081,0.6961804080326566,0.6887269539419818,0.6560985214741728,0.7072614118491731,0.614525369171325,target_weighted_single_full,full
Q3,lgbm|smooth|recent_anchorerr|top240|hist1|bankbins_te,lgbm,smooth,recent_anchorerr,240,prob,0.5,0.6578694554291441,0.6375550503193951,-0.004811090699056608,0.002863042078641631,0.642834478194794,0.6660840001654873,0.6456584938632339,0.6859321646855877,0.661627195258579,0.6759336559594741,0.6263217970095714,0.6375550503193951,0.6892371950560064,0.6646283200858506,0.6742179120922729,0.6545817711411138,0.6456584938632339,target_weighted_single_full,full
S1,lgbm|smooth|uniform|top60|hist1|bankbins_te,lgbm,smooth,uniform,60,prob,0.0,0.492352153213852,0.4495444660169762,0.0,0.0,0.45450983174017057,0.5867838139626477,0.5143051175175029,0.470478165353136,0.4862291390835621,0.5290528261383755,0.5258050908732016,0.4495444660169762,0.5526641749033249,0.5662945284171079,0.61452067986709,0.6837699204849131,0.5143051175175029,target_weighted_single_full,full
S2,lgbm|leaf31|target_auto|top160|hist1|bankbins_te,lgbm,leaf31,target_auto,160,logit,0.12,0.5574994335319334,0.6158896242314986,-0.0026209721577747924,-0.006925698663934776,0.6250646416199837,0.6747461466214923,0.7018054510010955,0.5632699614124018,0.5318182378458441,0.5194825064626085,0.5593797855256388,0.6158896242314986,0.6422259629790609,0.7346551635792675,0.6830402503076187,0.6154909258108112,0.7018054510010955,target_weighted_single_full,full
S3,lgbm|smooth|recent_anchorerr|top240|hist1|bankbins_te,lgbm,smooth,recent_anchorerr,240,logit,0.05,0.541391199675007,0.6005149563912465,-0.00016017484668107151,-0.00016406859932704965,0.6078667850045344,0.5987131558469547,0.6401189152444501,0.5008289964072978,0.5335845026758123,0.5653748360273206,0.5131245998670421,0.6005149563912465,0.5260014982235905,0.622075013542586,0.5865515355724189,0.6243440510039784,0.6401189152444501,target_weighted_single_full,full
S4,lgbm|smooth|uniform|top60|hist1|bankbins_te,lgbm,smooth,uniform,60,prob,0.0,0.630799037604625,0.5886543846409902,0.0,0.0,0.5936162949089975,0.6855317767653218,0.6908087725757937,0.6568138600711415,0.5959304507305941,0.649066667040829,0.6602097780743036,0.5886543846409902,0.6778866903983771,0.6804619238948455,0.693235137623314,0.686204297827736,0.6908087725757937,target_weighted_single_full,full
